Year,log_ratio_1,log_ratio_2
1964-01-01,-1.9388599447214099,-1.0496983598477438
1965-01-01,-1.9524002293432174,-1.0528615269076813
1966-01-01,-1.9504897363388751,-1.0470396881141644
1967-01-01,-1.952961728343045,-1.0358153842003752
1968-01-01,-1.9567564696349184,-1.0209421200512763
1969-01-01,-1.9577028026598704,-1.0050492789530265
1970-01-01,-1.953942449586604,-0.9895056694649078
1971-01-01,-1.94719485944335,-0.9653945879002812
1972-01-01,-1.9382355723340625,-0.9459897163413729
1973-01-01,-1.9300069833665978,-0.9299987607217083
1974-01-01,-1.925926758378306,-0.9149720458232908
1975-01-01,-1.927140708462013,-0.8998434765060426
1976-01-01,-1.9295680635326793,-0.8864133221006607
1977-01-01,-1.93566143701447,-0.8717294350590661
1978-01-01,-1.9433167948100665,-0.8563840381388689
1979-01-01,-1.9499020756033838,-0.8420732362471928
1980-01-01,-1.9540095295839137,-0.8296709722431244
1981-01-01,-1.951724147253651,-0.8166910424548082
1982-01-01,-1.9489601119765547,-0.8062629127485668
1983-01-01,-1.9464831275323302,-0.7980863438590182
1984-01-01,-1.9453650212741456,-0.7913302563878281
1985-01-01,-1.9459212343303203,-0.7854509305186783
1986-01-01,-1.9468134955925704,-0.7792550673145617
1987-01-01,-1.9503309410347893,-0.773033028407483
1988-01-01,-1.9556538255314426,-0.7663378277466871
1989-01-01,-1.9610677221124535,-0.7590016977758345
1990-01-01,-1.9650680861094272,-0.7508665377914825
1991-01-01,-1.9635049775614073,-0.7398047848993152
1992-01-01,-1.960860530779736,-0.7285455247266532
1993-01-01,-1.9582037462906539,-0.717322822411679
1994-01-01,-1.956911031741848,-0.7062888465963733
1995-01-01,-1.9572780168059174,-0.6952432370727802
1996-01-01,-1.9575977781744376,-0.6814470185501765
1997-01-01,-1.9602537047826023,-0.668377379892293
1998-01-01,-1.9632996241460436,-0.6544077164466174
1999-01-01,-1.9641660998937924,-0.6375117331613259
2000-01-01,-1.9615088159626266,-0.6167979405354365
2001-01-01,-1.9446420455767925,-0.592239819782901
2002-01-01,-1.92980880332573,-0.564065619060602
2003-01-01,-1.9193578984155253,-0.5349835379315503
2004-01-01,-1.9119317528965767,-0.506537482029169
2005-01-01,-1.90305553564753,-0.4779930360530662
2006-01-01,-1.8836737822361154,-0.4508297102294535
2007-01-01,-1.8674695211610322,-0.4247627513228644
2008-01-01,-1.856713191762918,-0.4003580997971596
2009-01-01,-1.8504404823826688,-0.376228998696058
