Year,log_ratio_1,log_ratio_2
1964-01-01,-1.190818978942316,-1.1537439834463654
1965-01-01,-1.1991352206346708,-1.1595845926599873
1966-01-01,-1.1979618242091572,-1.1559012587458517
1967-01-01,-1.1994800849800673,-1.1506901825599267
1968-01-01,-1.201810758715858,-1.1439444311284643
1969-01-01,-1.202391982403304,-1.1357816417553779
1970-01-01,-1.200082429400592,-1.1263592203094726
1971-01-01,-1.1959381597608034,-1.1114624026668545
1972-01-01,-1.1904354986962027,-1.0983896221286031
1973-01-01,-1.1853816215767903,-1.0873570952440945
1974-01-01,-1.1828756079951281,-1.0781113797096442
1975-01-01,-1.1836211981049771,-1.0704372896617478
1976-01-01,-1.1851120435343498,-1.0640392140622845
1977-01-01,-1.1888545030181588,-1.0581000851768334
1978-01-01,-1.1935563100663726,-1.0522887730092536
1979-01-01,-1.1976008917143128,-1.046699149174495
1980-01-01,-1.2001236289385584,-1.0413637543146215
1981-01-01,-1.1987199810575313,-1.0337579065064848
1982-01-01,-1.1970223516462923,-1.02736237024222
1983-01-01,-1.1955010245928563,-1.0222525902187767
1984-01-01,-1.1948143003370149,-1.0183156655744523
1985-01-01,-1.1951559181343352,-1.0153592613996891
1986-01-01,-1.1957039317482918,-1.012337688943962
1987-01-01,-1.1978642944920743,-1.010108368198329
1988-01-01,-1.2011335310857694,-1.008181809669531
1989-01-01,-1.2044586659498169,-1.0059422900147401
1990-01-01,-1.2069156300968369,-1.0028436809856887
1991-01-01,-1.2059555920444769,-0.9964799162666764
1992-01-01,-1.2043314121108049,-0.9896790264964854
1993-01-01,-1.2026996545405007,-0.9828937930302664
1994-01-01,-1.2019056884661259,-0.9766278389257457
1995-01-01,-1.2021310852414175,-0.9708653782773257
1996-01-01,-1.202327477924346,-0.9636253668228792
1997-01-01,-1.2039587085969332,-0.957489242149265
1998-01-01,-1.2058294670270038,-0.9509941582243211
1999-01-01,-1.206361643560962,-0.9422732740060094
2000-01-01,-1.2047295792407489,-0.9304395768037654
2001-01-01,-1.1943702594025132,-0.9121974539449723
2002-01-01,-1.185259902339382,-0.8926564197570044
2003-01-01,-1.1788411117773947,-0.8739782672862879
2004-01-01,-1.1742800835048641,-0.8565672977398128
2005-01-01,-1.1688284427145343,-0.8386586882601896
2006-01-01,-1.1569244576586106,-0.818258524373162
2007-01-01,-1.1469720411983708,-0.7994173022806847
2008-01-01,-1.1403656634525714,-0.7831332807405585
2009-01-01,-1.136513058523718,-0.768372710863049
