Year,CBR,CDR,CNMR
1964-01-01,38.954,8.794,-1.208
1965-01-01,37.647,8.257,-1.446
1966-01-01,36.323,7.97,-2.232
1967-01-01,35.037,7.707,-2.369
1968-01-01,34.414,7.493,-2.62
1969-01-01,33.931,7.281,-2.658
1970-01-01,33.561,7.078,-2.464
1971-01-01,33.11,6.88,-3.129
1972-01-01,32.769,6.684,-2.612
1973-01-01,33.021,6.496,-2.32
1974-01-01,32.63,6.281,-1.951
1975-01-01,32.238,6.105,-1.309
1976-01-01,31.851,5.914,-1.133
1977-01-01,31.559,5.746,0.546
1978-01-01,31.271,5.603,0.471
1979-01-01,31.095,5.465,0.338
1980-01-01,31.088,5.331,0.501
1981-01-01,31.132,5.154,-0.13
1982-01-01,31.116,5.06,-0.051
1983-01-01,31.039,4.986,0.643
1984-01-01,30.876,4.895,1.655
1985-01-01,30.435,4.799,3.38
1986-01-01,29.996,4.79,4.649
1987-01-01,29.3,4.756,5.807
1988-01-01,28.772,4.717,6.159
1989-01-01,27.957,4.677,5.786
1990-01-01,27.894,4.656,5.407
1991-01-01,27.942,4.656,4.535
1992-01-01,27.926,4.674,4.779
1993-01-01,27.731,4.607,4.679
1994-01-01,27.482,4.529,5.128
1995-01-01,27.057,4.494,4.693
1996-01-01,26.583,4.563,4.953
1997-01-01,25.87,4.627,5.35
1998-01-01,24.935,4.718,5.494
1999-01-01,24.118,4.722,5.579
2000-01-01,23.047,4.584,7.614
2001-01-01,21.523,4.435,8.465
2002-01-01,20.091,4.43,9.37
2003-01-01,19.339,4.43,9.184
2004-01-01,18.4,4.488,9.701
2005-01-01,17.722,4.516,9.519
2006-01-01,17.308,4.603,9.526
2007-01-01,17.077,4.705,9.168
2008-01-01,17.36,4.817,7.899
2009-01-01,17.348,4.96,6.921
2010-01-01,17.389290842242094,5.081335000246449,6.009751698722606
2011-01-01,17.424467730516312,5.177440235621226,5.23417214659607
2012-01-01,17.461854161307738,5.264806683414006,4.898081412382828
2013-01-01,17.49946151219019,5.369208368826419,4.969623017699735
2014-01-01,17.537309716459337,5.472301299841952,5.240313704713218
2015-01-01,17.57525082112623,5.5607736722495265,5.498240401956838
2016-01-01,17.613239829192214,5.6438676556118414,5.628468293097769
2017-01-01,17.65125111135776,5.734510915723215,5.625046613486478
2018-01-01,17.689273115535563,5.830119702957023,5.5469769096043535
2019-01-01,17.727300220054598,5.920276380431173,5.462769455737038
2020-01-01,17.765329760557176,6.003488223573971,5.414374051945293
2021-01-01,17.80336046291535,6.08700591755808,5.409003145476916
