Year,elder,youth,kid
1964-01-01,300790.0,4667479.0,4285558.0
1965-01-01,304772.0,4820702.0,4401084.0
1966-01-01,314861.0,4966846.0,4508376.0
1967-01-01,324307.0,5133770.0,4588244.0
1968-01-01,333863.0,5313480.0,4650640.0
1969-01-01,344674.0,5492885.0,4711836.0
1970-01-01,357410.0,5665642.0,4781079.0
1971-01-01,373386.0,5862680.0,4826368.0
1972-01-01,389869.0,6044414.0,4889994.0
1973-01-01,406013.0,6221879.0,4964746.0
1974-01-01,420862.0,6412322.0,5037918.0
1975-01-01,434005.0,6623933.0,5104251.0
1976-01-01,446848.0,6843399.0,5178441.0
1977-01-01,458783.0,7086990.0,5244540.0
1978-01-01,470437.0,7346116.0,5306281.0
1979-01-01,482493.0,7604872.0,5372670.0
1980-01-01,495395.0,7853717.0,5448982.0
1981-01-01,511907.0,8089302.0,5532851.0
1982-01-01,528321.0,8316110.0,5626784.0
1983-01-01,544605.0,8542454.0,5732370.0
1984-01-01,560776.0,8782208.0,5849316.0
1985-01-01,577030.0,9043870.0,5978024.0
1986-01-01,594629.0,9331469.0,6117638.0
1987-01-01,611775.0,9648416.0,6261813.0
1988-01-01,628587.0,9988469.0,6405414.0
1989-01-01,645628.0,10338107.0,6545226.0
1990-01-01,663617.0,10686442.0,6679765.0
1991-01-01,686253.0,11026555.0,6807132.0
1992-01-01,709771.0,11361866.0,6931022.0
1993-01-01,733576.0,11698893.0,7052432.0
1994-01-01,756876.0,12048429.0,7172203.0
1995-01-01,779647.0,12417355.0,7290602.0
1996-01-01,804328.0,12816241.0,7397050.0
1997-01-01,827378.0,13233133.0,7502279.0
1998-01-01,850693.0,13664770.0,7599185.0
1999-01-01,877048.0,14105387.0,7678858.0
2000-01-01,908066.0,14549464.0,7736722.0
2001-01-01,955460.0,14947989.0,7805666.0
2002-01-01,1003243.0,15369723.0,7835425.0
2003-01-01,1047599.0,15813798.0,7837424.0
2004-01-01,1089330.0,16271948.0,7829369.0
2005-01-01,1134333.0,16732815.0,7823467.0
2006-01-01,1194642.0,17145977.0,7861335.0
2007-01-01,1252810.0,17573459.0,7894098.0
2008-01-01,1304113.0,18016934.0,7914956.0
2009-01-01,1348989.0,18472321.0,7913728.0
2010-01-01,1392960.0,18927789.0,7887279.0
2011-01-01,1465345.0,19364284.0,7821333.0
2012-01-01,1544042.0,19763743.0,7760404.0
2013-01-01,1628411.0,20139068.0,7701444.0
2014-01-01,1716914.0,20504718.0,7644974.0
2015-01-01,1808864.0,20867238.0,7594863.0
2016-01-01,1903401.0,21197148.0,7584104.0
2017-01-01,2001259.0,21531344.0,7572052.0
2018-01-01,2103473.0,21859364.0,7565196.0
2019-01-01,2211172.0,22168121.0,7570496.0
2020-01-01,2325071.0,22451709.0,7589218.0
2021-01-01,2440362.0,22709903.0,7625930.0
