"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Population ages 65 and above, total","SP.POP.65UP.TO","1346","1433","1513","1588","1671","1766","1867","1972","2087","2219","2365","2592","2834","3085","3324","3552","3661","3768","3871","3986","4117","4231","4360","4476","4567","4612","4624","4610","4600","4644","4758","4777","4895","5086","5315","5552","5814","6059","6310","6578","6888","7207","7557","7924","8278","8594","8993","9342","9678","10035","10460","10800","11201","11656","12149","12664","13218","13774","14343","14945","15594","16230",
"Africa Eastern and Southern","AFE","Population ages 65 and above, total","SP.POP.65UP.TO","4043770","4151048","4251472","4347316","4441300","4534866","4662727","4787863","4910027","5029003","5145606","5313465","5477553","5637662","5793315","5944434","6143870","6341599","6539940","6740307","6942826","7145177","7338390","7525534","7709913","7893186","8150804","8405898","8658530","8909996","9162305","9463521","9760948","10056261","10353506","10656532","10986468","11305905","11612202","11898716","12160451","12473975","12760591","13027956","13284639","13536519","13924014","14305289","14684044","15064616","15451980","15954788","16468512","16995114","17536074","18094678","18754826","19423165","20105467","20808019","21536800","22344911",
"Afghanistan","AFG","Population ages 65 and above, total","SP.POP.65UP.TO","251763","257489","262225","265890","268393","269706","276591","282473","287330","291186","294047","302405","309809","315984","320690","323757","331130","335779","336812","333367","325198","323069","315216","302582","286403","267344","266581","266294","267537","271237","277110","298208","327281","361158","395795","428918","446710","456623","462165","467820","476265","490882","509839","531197","552252","571446","595225","615355","634055","654668","679477","709103","743602","780991","818110","852997","891625","927094","960867","995094","1031239","1071382",
"Africa Western and Central","AFW","Population ages 65 and above, total","SP.POP.65UP.TO","2829296","2912796","2989600","3058187","3116795","3165043","3259134","3343512","3419498","3488573","3552068","3663552","3767613","3864931","3956329","4042645","4172756","4296634","4414861","4527886","4636356","4798397","4955223","5106906","5253745","5396660","5574944","5746189","5910661","6068248","6219748","6403506","6575558","6737890","6892110","7039678","7221860","7390901","7548675","7696867","7837137","8030271","8206552","8369219","8522479","8669710","8917969","9156818","9384113","9596167","9792718","10080682","10349565","10604651","10852195","11097632","11441125","11777875","12111811","12446267","12785236","13220250",
"Angola","AGO","Population ages 65 and above, total","SP.POP.65UP.TO","164027","168439","171872","174434","176103","176688","175290","172134","167105","160670","153593","159670","166552","173843","180961","187486","192567","197458","202435","207804","213807","222382","231102","239690","247720","254995","262671","269472","276114","283540","292296","303986","316390","329122","341698","353916","368174","381751","394883","407872","420852","436308","451459","465962","479221","490962","504495","516473","527649","539088","551384","568563","586522","604290","620481","634610","652134","667656","682860","699947","720252","748672",
"Albania","ALB","Population ages 65 and above, total","SP.POP.65UP.TO","87049","89478","92504","95799","98983","101776","103456","104905","106590","108664","110896","113357","116143","118995","121914","124949","128252","131661","134971","138212","141573","145208","148987","152763","156439","159938","163457","166862","170216","175638","180595","184533","189221","194474","199849","205054","207943","210387","212661","215154","218028","223839","231640","239739","247942","255998","266503","276855","287381","298383","310103","320007","330283","340775","351913","363733","372634","383005","393976","405370","417294","428497",
"Andorra","AND","Population ages 65 and above, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 65 and above, total","SP.POP.65UP.TO","3234225","3352609","3469470","3584776","3698270","3809935","3939319","4066217","4191645","4316656","4442280","4587447","4732009","4875588","5017224","5157335","5315788","5472123","5627797","5784698","5944263","6123853","6301811","6480241","6661954","6849912","7065460","7287560","7519114","7763206","8064277","8370338","8657337","8982024","9313402","9672492","10015939","10353214","10685323","11015111","11344828","11672023","11997114","12320307","12638464","12952804","13289587","13616630","13946302","14292986","14667787","15080808","15508463","15963198","16465991","17033363","17675107","18379135","19136464","19929502","20753658","21674036",
"United Arab Emirates","ARE","Population ages 65 and above, total","SP.POP.65UP.TO","3174","3205","3306","3414","3469","3426","3330","3210","3136","3178","3371","3368","3825","4790","6251","8175","9283","10645","12176","13624","14756","15456","15684","15763","16022","16626","17222","18143","19330","20640","21943","22786","23530","24194","24827","25463","26741","28519","30587","32564","34242","34376","34450","35109","37096","40725","42575","46102","50490","54855","58618","66386","73369","79088","83361","86457","92392","98162","104496","113001","125055","144722",
"Argentina","ARG","Population ages 65 and above, total","SP.POP.65UP.TO","1133027","1180297","1227887","1276214","1325674","1376611","1432500","1488660","1545082","1601707","1658621","1720411","1781130","1840861","1899463","1956758","2021794","2084242","2144761","2204472","2264500","2323132","2383640","2445546","2507582","2569289","2643160","2711719","2777257","2843057","2910364","2987702","3065166","3141283","3213299","3280179","3350998","3416986","3478178","3534693","3587026","3646163","3698543","3747194","3795884","3847046","3906203","3966575","4029611","4096735","4158393","4248699","4340684","4434407","4529965","4627549","4733904","4840396","4946805","5052508","5157755","5269797",
"Armenia","ARM","Population ages 65 and above, total","SP.POP.65UP.TO","118971","118444","118085","118071","118653","120033","122971","126712","131065","135674","140324","145866","150699","155123","159572","164225","169540","175037","180006","183381","184730","185087","183674","181555","180193","180501","181442","183512","186963","192187","199274","212953","227988","243212","257227","269661","278226","284704","290549","297814","307444","318197","331198","343926","352497","354770","352184","344052","333033","322973","316327","312532","311823","313315","315685","318225","322351","326773","332184","339656","349747","364553",
"American Samoa","ASM","Population ages 65 and above, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population ages 65 and above, total","SP.POP.65UP.TO","2294","2313","2329","2333","2331","2338","2388","2442","2481","2509","2523","2652","2750","2819","2864","2891","3008","3121","3225","3313","3392","3529","3671","3808","3932","4059","4225","4396","4580","4770","4978","4982","4991","4999","5007","5005","5043","5060","5061","5041","5000","5104","5219","5348","5503","5687","5799","5927","6085","6267","6477","6672","6888","7124","7369","7632","7902","8183","8473","8794","9139","9533",
