"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Population ages 0-14, total","SP.POP.0014.TO","23769","24035","24139","24091","23924","23683","23479","23160","22773","22398","22043","21451","20956","20474","19895","19153","18708","18054","17270","16518","15934","15642","15528","15554","15572","15459","15575","15445","15178","15039","15257","15564","16244","17171","18101","18812","19607","20152","20503","20782","21062","21290","21490","21613","21608","21479","21400","21339","21292","21253","21221","20952","20608","20213","19833","19515","19146","18944","18843","18732","18558","18560",
"Africa Eastern and Southern","AFE","Population ages 0-14, total","SP.POP.0014.TO","57144288","58943932","60748348","62553938","64347711","66128065","68203382","70220874","72229912","74286167","76416731","78863378","81348373","83867122","86401755","88946817","91790747","94608851","97441373","100335324","103304455","106688078","110075356","113466514","116859642","120258276","124091784","127873046","131599379","135252471","138803224","142602640","146256785","149790410","153241964","156633522","160640519","164586314","168500400","172401158","176305480","180722506","185106521","189523440","194063179","198772826","203899140","209136641","214468756","219850030","225254579","230867853","236408684","241896989","247356893","252787720","258306434","263744012","269079146","274282381","279340111","284463145",
"Afghanistan","AFG","Population ages 0-14, total","SP.POP.0014.TO","3791398","3892774","3987207","4079604","4176097","4279405","4408354","4537726","4670217","4808160","4952749","5126255","5298650","5465752","5620548","5754600","5905310","6041229","6145529","6193728","6167998","6120206","6018772","5887421","5762967","5679716","5602622","5545199","5553638","5688388","5996166","6412435","6972007","7605924","8199804","8660290","9063144","9356593","9583636","9828707","10160022","10549109","10994238","11464836","11906924","12278044","12685156","13042470","13369666","13700611","14061038","14366484","14673818","14968789","15230632","15443806","15664814","15855058","16017446","16157198","16280845","16411474",
"Africa Western and Central","AFW","Population ages 0-14, total","SP.POP.0014.TO","40179920","41258443","42322255","43381248","44435635","45485151","46815458","48101375","49365287","50633585","51923752","53483631","55041458","56609841","58199399","59820859","61782480","63729452","65680422","67653549","69654357","71997004","74314942","76614364","78891728","81139817","83656201","86095975","88470321","90789467","93055984","95562850","97986885","100349137","102677341","104997225","107727790","110425952","113116338","115826318","118576806","121829238","125079214","128363159","131719976","135174011","139064288","142986744","146950501","150954645","154992075","159365997","163729152","168071948","172375593","176628546","181074105","185398355","189619289","193768241","197861564","202086389",
"Angola","AGO","Population ages 0-14, total","SP.POP.0014.TO","2298278","2366950","2439505","2504062","2547437","2565875","2575162","2565406","2562164","2592704","2669035","2742738","2855508","2991264","3125336","3243453","3384465","3498666","3600313","3712169","3846099","3998021","4171958","4359410","4545141","4721214","4915385","5099944","5277940","5455525","5635397","5838644","6039555","6239209","6437829","6635638","6854778","7072950","7291638","7512795","7738638","7995677","8256395","8525293","8808623","9111255","9459742","9823509","10201777","10590934","10987155","11418718","11849941","12280862","12710363","13136045","13571355","13999872","14421730","14837599","15248424","15660639",
"Albania","ALB","Population ages 0-14, total","SP.POP.0014.TO","646025","672912","699944","726429","751660","774509","797288","817709","837976","857640","873672","887046","901357","914016","924477","932982","941877","948326","952165","955738","961426","967751","976735","987108","998122","1009417","1020875","1034400","1047555","1068374","1077154","1074586","1069575","1061867","1052793","1043751","1020696","999590","979684","959258","937016","907894","882748","855353","827057","798071","765255","734104","704868","678030","654121","623783","597500","574857","555294","537791","528734","518036","506571","496617","489128","480106",
"Andorra","AND","Population ages 0-14, total","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 0-14, total","SP.POP.0014.TO","39900270","41339716","42792876","44248953","45685299","47089854","48668390","50184667","51657731","53108292","54542152","56131697","57668217","59201111","60796854","62505713","64409125","66410996","68487230","70588850","72676348","74875303","77043667","79185984","81313147","83427522","85737660","87977462","90161760","92284423","95276980","97242681","98468251","100222465","101768197","103575345","104805785","105886673","106845219","107752374","108631574","109435314","110205569","110994608","111871393","112886663","113979488","115231491","116661764","118267385","120038961","121933879","124005611","126210619","128447163","130629545","133196474","135482326","137628016","139782894","142003455","144001243",
"United Arab Emirates","ARE","Population ages 0-14, total","SP.POP.0014.TO","41184","43747","47181","51008","54531","57446","59527","61578","64931","71200","81606","90007","100972","115023","132684","154344","175066","199262","227333","257332","286609","316293","344839","373720","404351","437297","465313","492369","518793","544169","567999","587110","606644","625811","643561","660128","684503","709253","739446","775914","816214","789171","765574","759301","782991","841538","876732","936996","1012222","1081357","1124863","1201024","1241612","1262873","1283360","1311986","1346624","1376064","1406459","1437500","1465172","1487878",
"Argentina","ARG","Population ages 0-14, total","SP.POP.0014.TO","6359619","6443595","6515681","6578462","6636512","6692680","6757942","6820985","6884882","6953530","7030163","7127579","7235064","7351515","7476084","7608884","7769439","7943479","8126119","8308493","8485078","8694707","8871424","9029442","9189224","9358491","9487610","9646334","9810965","9947654","10041981","10148345","10210465","10243125","10271830","10308660","10347240","10385460","10424412","10461215","10494238","10510963","10540093","10573025","10598085","10609994","10634080","10637333","10630193","10630362","10619665","10654653","10705359","10765954","10824454","10874071","10932227","10978949","11017254","11052913","11087953","11119057",
