,all
2022-01-01,48492716.96070979
2023-01-01,49125901.18914259
2024-01-01,49759403.62286967
2025-01-01,50393105.11992164
2026-01-01,51026962.546787284
2027-01-01,51660908.055202655
2028-01-01,52294895.37570633
2029-01-01,52928885.82679382
2030-01-01,53562854.50110577
2031-01-01,54196786.63382229
2032-01-01,54830676.49360115
2033-01-01,55464524.74233415
2034-01-01,56098336.337876014
2035-01-01,56732118.53387382
2036-01-01,57365879.348971255
2037-01-01,57999626.44205855
2038-01-01,58633366.40779835
2039-01-01,59267104.418077655
2040-01-01,59900844.13721554
2041-01-01,60534587.82753044
