,all
1964-01-01,9635748.0
1965-01-01,9946176.0
1966-01-01,10248553.0
1967-01-01,10591847.0
1968-01-01,10960823.0
1969-01-01,11330444.0
1970-01-01,11688694.0
1971-01-01,12098746.0
1972-01-01,12478697.0
1973-01-01,12849771.0
1974-01-01,13245506.0
1975-01-01,13681871.0
1976-01-01,14133646.0
1977-01-01,14632763.0
1978-01-01,15162669.0
1979-01-01,15692237.0
1980-01-01,16202829.0
1981-01-01,16690511.0
1982-01-01,17160541.0
1983-01-01,17629513.0
1984-01-01,18125192.0
1985-01-01,18664770.0
1986-01-01,19257567.0
1987-01-01,19908607.0
1988-01-01,20605525.0
1989-01-01,21321842.0
1990-01-01,22036501.0
1991-01-01,22739363.0
1992-01-01,23433503.0
1993-01-01,24131362.0
1994-01-01,24853734.0
1995-01-01,25614357.0
1996-01-01,26436810.0
1997-01-01,27293644.0
1998-01-01,28180233.0
1999-01-01,29087822.0
2000-01-01,30006994.0
2001-01-01,30851438.0
2002-01-01,31742689.0
2003-01-01,32675195.0
2004-01-01,33633226.0
2005-01-01,34599963.0
2006-01-01,35486596.0
2007-01-01,36399728.0
2008-01-01,37337981.0
2009-01-01,38293631.0
2010-01-01,39248538.0
2011-01-01,40193913.0
2012-01-01,41071528.0
2013-01-01,41906547.0
2014-01-01,42726350.0
2015-01-01,43543340.0
2016-01-01,44297697.0
2017-01-01,45063947.0
2018-01-01,45822201.0
2019-01-01,46547414.0
2020-01-01,47228489.0
2021-01-01,47860168.0
2022-01-01,48492716.96070979
2023-01-01,49125901.18914259
2024-01-01,49759403.62286967
2025-01-01,50393105.11992164
2026-01-01,51026962.546787284
2027-01-01,51660908.055202655
2028-01-01,52294895.37570633
2029-01-01,52928885.82679382
2030-01-01,53562854.50110577
2031-01-01,54196786.63382229
2032-01-01,54830676.49360115
2033-01-01,55464524.74233415
2034-01-01,56098336.337876014
2035-01-01,56732118.53387382
2036-01-01,57365879.348971255
2037-01-01,57999626.44205855
2038-01-01,58633366.40779835
2039-01-01,59267104.418077655
2040-01-01,59900844.13721554
2041-01-01,60534587.82753044
