"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Population ages 15-64, total","SP.POP.1564.TO","29093","29966","30582","31020","31434","31908","32357","32913","33517","34117","34662","35399","36058","36678","37308","37948","38217","38544","38961","39468","40046","40688","41453","42183","42687","42954","42446","41782","41293","41350","42137","44282","47100","50238","53288","55960","57791","59239","60467","61649","62916","64396","65945","67479","68859","69955","70437","70545","70392","70164","69984","70298","70756","71296","71793","72161","72501","72643","72660","72632","72614","72405",
"Africa Eastern and Southern","AFE","Population ages 15-64, total","SP.POP.1564.TO","69648709","71064806","72614824","74300783","76131179","78107040","79886565","81867716","84016493","86296592","88694854","90923327","93315221","95871770","98605728","101518687","104271150","107242597","110387081","113664754","117058665","120225152","123585387","127154243","130960508","135009989","138807475","142905592","147266345","151862172","156682481","161328531","166252340","171418905","176784467","182315605","187326608","192548368","197985789","203678116","209647114","215325648","221356604","227695239","234282331","241094732","247758220","254724980","262020360","269690026","277761668","285937783","294605668","303709474","313182403","322989451","332917687","343225705","353905517","364955873","376366386","387857061",
"Afghanistan","AFG","Population ages 15-64, total","SP.POP.1564.TO","4953806","5019143","5102010","5197706","5300282","5407207","5489895","5579736","5679517","5794426","5926857","6046790","6182763","6327227","6471722","6610807","6706653","6794286","6858858","6883965","6863304","6728404","6548530","6347729","6154936","5991144","5866974","5793045","5796832","5909248","6139034","6588374","7186256","7849519","8480128","9021453","9343589","9543910","9691968","9874319","10143670","10567001","11096697","11684838","12267512","12804785","13152676","13442717","13718559","14039528","14444996","15041824","15743958","16519812","17322062","18116800","18826589","19513959","20193609","20889465","21616257","22352572",
"Africa Western and Central","AFW","Population ages 15-64, total","SP.POP.1564.TO","53387204","54235983","55195109","56251904","57401041","58639680","59627220","60751064","61996332","63346583","64793225","66037124","67409435","68910184","70543812","72310042","73857935","75589628","77475779","79482418","81591557","83428186","85419597","87558152","89846377","92290076","94554468","97026404","99689097","102525069","105528132","108365911","111413925","114667779","118122684","121770722","125164530","128796897","132637295","136647162","140800602","144574386","148556713","152737154","157110642","161676866","166003217","170598091","175437712","180499726","185772094","190838759","196164300","201761298","207655193","213860470","220036067","226593701","233498281","240697092","248156675","255592231",
"Angola","AGO","Population ages 15-64, total","SP.POP.1564.TO","2992633","2996062","2997123","3000912","3011454","3028010","3030854","3036901","3042703","3050303","3067732","3138831","3226905","3332177","3455326","3593055","3702598","3837690","3988026","4138139","4281384","4420075","4549912","4679004","4821895","4985784","5142059","5319832","5513996","5715718","5920693","6106271","6301417","6506714","6724226","6955652","7177769","7416871","7673080","7946204","8235987","8513768","8811564","9130222","9470294","9831387","10185668","10565378","10966210","11384253","11817708","12233379","12671462","13130634","13610929","14113725","14618993","15149241","15705197","16287753","16897592","17524300",
"Albania","ALB","Population ages 15-64, total","SP.POP.1564.TO","875725","897410","918872","940393","963492","988506","1013829","1042984","1077706","1115391","1150911","1187450","1225626","1263741","1303733","1346900","1388397","1433559","1479130","1523882","1568997","1613098","1658556","1704089","1749868","1795407","1838303","1882344","1924566","1983932","2028794","2007671","1988243","1970947","1954894","1938980","1939394","1938304","1936185","1934366","1933983","1928440","1936622","1944524","1951941","1957418","1960789","1959058","1955065","1951106","1948797","1961405","1972618","1979460","1981897","1979179","1974734","1972416","1965829","1952204","1931428","1903063",
"Andorra","AND","Population ages 15-64, total","SP.POP.1564.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 15-64, total","SP.POP.1564.TO","49063221","50032214","51072091","52200464","53449221","54836640","56150923","57648452","59286786","61012245","62801195","64445576","66198518","68084602","70138193","72377533","74728365","77278721","79996132","82844992","85800160","88699821","91716319","94839742","98060179","101372893","104535019","107819937","111208796","114706338","119312116","123118653","125830774","130038805","134367829","139859464","144179213","148582282","153045236","157626324","162367741","167324816","172462520","177798952","183352988","189126310","195183689","201442631","207787871","214068809","220183347","226142159","231923568","237522658","242986682","248365389","253171312","258081365","263087505","268157877","273323616","278842504",
"United Arab Emirates","ARE","Population ages 15-64, total","SP.POP.1564.TO","48059","53849","61625","70708","80049","88983","97122","104980","114554","128725","149535","184088","226171","274812","328522","385776","453577","525440","595989","660796","718142","764853","804293","838974","873597","912242","963851","1023014","1088945","1160867","1238495","1327263","1422718","1523130","1625989","1729507","1827877","1933589","2043181","2157551","2283611","2479175","2678745","2917521","3248490","3705959","4380865","5185748","6026774","6781156","7366517","7679368","7826617","7855947","7847461","7864453","7921959","8012980","8120011","8220025","8300173","8358483",
"Argentina","ARG","Population ages 15-64, total","SP.POP.1564.TO","12989135","13193378","13409474","13634240","13862241","14090353","14303589","14519227","14738304","14962376","15191780","15411574","15636978","15864099","16086758","16300133","16473448","16633676","16790161","16958081","17146953","17320675","17539486","17787061","18040290","18288504","18568194","18826359","19080717","19357426","19666303","19942955","20253688","20585695","20917540","21239329","21548138","21854993","22160861","22471310","22789533","23118518","23443106","23767647","24098001","24435884","24749593","25080395","25420355","25755689","26010395","26358138","26687229","27002574","27315081","27630346","27924237","28225466","28530443","28833291","29131055","29419894",
